,alpha,capacity,capacity_normalized,conditional_var,cov,dither_on,dither_size,error_bias,mse,mse_from_big_errors,normalized_mse,number_of_big_errors,number_of_samples,recovered_x_before_alpha_var,sim_id,snr,snr_normalized,x_mod,x_quantizer_bin_size,x_quantizer_modulo_edge_to_edge,x_quantizer_number_of_quants,x_samples_var,x_var,y_mod,y_quantizer_bin_size,y_quantizer_modulo_edge_to_edge,y_quantizer_number_of_quants,y_var
0,0.854005088,2.3797945,0.506360848,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000264102,2.37833281,1.110961251,2.37833281,2967213,50000000,11.70649872,1095,4.204626012,0.420462601,5.85,0.4875,5.85,12,9.997409471,10,10000,5,10000,2000,10
0,0.992097849,6.055493332,2.916662403,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,7.03E-05,0.152649099,0.067884865,0.152649099,102064,50000000,10.08215159,1096,65.50972184,6.550972184,5.85,0.45,5.85,13,10.0024809,10,1000,0.5,1000,2000,10
0,0.989477417,5.725402872,2.630116361,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,3.07E-05,0.192650044,0.087614026,0.192650044,132205,50000000,10.10456302,1097,51.90759272,5.190759272,5.85,0.45,5.85,13,9.998236913,10,2000,1,2000,2000,10
0,0.985733119,5.303035948,2.277378186,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000116256,0.259877873,0.121128862,0.259877873,183665,50000000,10.14265616,1098,38.47961314,3.847961314,5.85,0.45,5.85,13,9.997952092,10,3000,1.5,3000,2000,10
0,0.974085195,4.735385559,1.833395219,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,5.97E-05,0.390053976,0.183954093,0.390053976,284583,50000000,10.26182596,1099,25.6374774,2.56374774,5.85,0.45,5.85,13,9.995892739,10,4000,2,4000,2000,10
0,0.866256568,3.077802152,0.802670666,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000247573,1.343495214,0.473109421,1.343495214,1216582,50000000,11.54341297,11,7.44327177,0.744327177,5.5,1.833333333,5.5,3,9.999557303,10,4000,2,4000,2000,10
0,0.924219127,2.8317971,0.688816347,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000243323,1.634092531,0.788063296,1.634092531,1563874,50000000,10.81787645,110,6.119604496,0.61196045,5.5,0.366666667,5.5,15,9.998088328,10,8000,4,8000,2000,10
0,0.973105297,4.336192794,1.545905699,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,3.91E-06,0.520867743,0.249024803,0.520867743,384035,50000000,10.27600709,1100,19.19873159,1.919873159,5.85,0.45,5.85,13,9.999636932,10,5000,2.5,5000,2000,10
0,0.954203308,3.825058595,1.212435859,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-5.85E-05,0.759136824,0.361681255,0.759136824,575917,50000000,10.475633,1101,13.17285592,1.317285592,5.85,0.45,5.85,13,9.995883661,10,6000,3,6000,2000,10
0,0.94263751,3.074499072,0.801072782,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000137219,1.346989501,0.651212498,1.346989501,1044145,50000000,10.60340784,1102,7.423962839,0.742396284,5.85,0.45,5.85,13,9.995169963,10,8000,4,8000,2000,10
0,0.753051588,2.214442669,0.447951782,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.00013551,2.746481298,1.292268147,2.746481298,8305365,50000000,13.28066274,1103,3.641022426,0.364102243,5.85,0.45,5.85,13,10.00102417,10,10000,5,10000,2000,10
0,0.991945186,6.068915278,2.928491127,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,2.71E-05,0.151214156,0.068293105,0.151214156,102483,50000000,10.08176,1104,66.13137459,6.613137459,5.85,0.417857143,5.85,14,10.0005533,10,1000,0.5,1000,2000,10
0,0.989460784,5.747208543,2.64877237,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,2.04E-05,0.189705298,0.087352166,0.189705298,131525,50000000,10.10824822,1105,52.71334055,5.271334055,5.85,0.417857143,5.85,14,10.00171521,10,2000,1,2000,2000,10
0,0.985268917,5.307371657,2.280909977,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,7.82E-06,0.259077834,0.121414253,0.259077834,183922,50000000,10.15075788,1106,38.59843907,3.859843907,5.85,0.417857143,5.85,14,10.00122623,10,3000,1.5,3000,2000,10
0,0.980793998,4.846336065,1.917121005,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.61E-05,0.360141494,0.17132817,0.360141494,260965,50000000,10.19393079,1107,27.7668643,2.77668643,5.85,0.417857143,5.85,14,9.99814614,10,4000,2,4000,2000,10
0,0.967341098,4.311444242,1.528830817,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,6.36E-05,0.530357962,0.25334438,0.530357962,394734,50000000,10.33942077,1108,18.85518974,1.885518974,5.85,0.417857143,5.85,14,10.00174665,10,5000,2.5,5000,2000,10
