,alpha,capacity,capacity_normalized,conditional_var,cov,dither_on,dither_size,error_bias,mse,mse_from_big_errors,normalized_mse,number_of_big_errors,number_of_samples,recovered_x_before_alpha_var,sim_id,snr,snr_normalized,x_mod,x_quantizer_bin_size,x_quantizer_modulo_edge_to_edge,x_quantizer_number_of_quants,x_samples_var,x_var,y_mod,y_quantizer_bin_size,y_quantizer_modulo_edge_to_edge,y_quantizer_number_of_quants,y_var
0,0.895427473148,3.21861592871,0.872547775162,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000439670710836,1.20352385909,0.00581215727894,1.20352385909,87,500000.0,11.1441604763,0,8.30893374023,0.830893374023,5.5,2.75,5.5,2,9.97878745563,10.0,200000,1,200000,200000,10.0
0,0.967166650638,4.07660462802,1.37142127761,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000325674849625,0.630019185444,0.1818447742,0.630019185444,3860,500000.0,10.3550682525,1,15.8725325054,1.58725325054,5.5,1.83333333333,5.5,3,10.0150766789,10.0,200000,1,200000,200000,10.0
0,0.987288196838,5.26083871966,2.24310853248,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000530084897405,0.267797829008,0.127050441468,0.267797829008,2175,500000.0,10.1349620146,10,37.3416021968,3.73416021968,5.5,0.458333333333,5.5,12,10.0061283724,10.0,200000,1,200000,200000,10.0
0,0.993057664996,5.69773505251,2.60650394508,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000376630222662,0.19645359884,0.0888073455314,0.19645359884,1382,500000.0,10.0851316061,100,50.9026052923,5.09026052923,5.75,0.479166666667,5.75,12,10.0151172439,10.0,200000,1,200000,200000,10.0
0,0.995391276105,7.75439777942,4.49138296568,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000109887947337,0.0465274924281,0.00440292001975,0.0465274924281,34,500000.0,10.0909913702,1000,214.926691256,21.4926691256,8.25,0.6875,8.25,12,10.0444847772,10.0,200000,1,200000,200000,10.0
0,0.99628239945,7.9123580389,4.64334402254,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,2.51211321983e-05,0.0416820779319,0.00372770335858,0.0416820779319,28,500000.0,10.0394102794,1001,239.911263933,23.9911263933,8.25,0.634615384615,8.25,13,10.0020877622,10.0,200000,1,200000,200000,10.0
0,0.996619055939,8.16983575524,4.89230448422,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-9.05777086067e-05,0.0348453685794,0.00330257085553,0.0348453685794,25,500000.0,10.018329598,1002,286.982184654,28.6982184654,8.25,0.589285714286,8.25,14,9.98445818605,10.0,200000,1,200000,200000,10.0
0,0.997168097827,8.27619384673,4.99555200122,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000582899372619,0.0323608968365,0.00400768945776,0.0323608968365,30,500000.0,9.9962915944,1003,309.014921636,30.9014921636,8.25,0.55,8.25,15,9.96798307451,10.0,200000,1,200000,200000,10.0
0,0.997202373658,8.43226611316,5.14744493743,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000148204234023,0.0290331417842,0.00386667106685,0.0290331417842,29,500000.0,10.0429240829,1004,344.433960139,34.4433960139,8.25,0.515625,8.25,16,10.014827734,10.0,200000,1,200000,200000,10.0
0,0.997682527776,8.70683896316,5.4156549615,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000113078146107,0.0239894840223,0.00213127161891,0.0239894840223,16,500000.0,10.0199574305,1005,416.849315754,41.6849315754,8.25,0.485294117647,8.25,17,9.99673645742,10.0,200000,1,200000,200000,10.0
