,alpha,capacity,capacity_normalized,conditional_var,cov,dither_on,dither_size,error_bias,mse,mse_from_big_errors,normalized_mse,number_of_big_errors,number_of_samples,recovered_x_before_alpha_var,sim_id,snr,snr_normalized,x_mod,x_quantizer_bin_size,x_quantizer_modulo_edge_to_edge,x_quantizer_number_of_quants,x_samples_var,x_var,y_mod,y_quantizer_bin_size,y_quantizer_modulo_edge_to_edge,y_quantizer_number_of_quants,y_var
0,0.890638708833,3.20822829295,0.867275666753,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.0177730092661,1.21327586191,0.00615037191848,1.21327586191,1,5000.0,11.33848771,0,8.24214864397,0.824214864397,5.5,2.75,5.5,2,10.0984960542,10.0,200000,1,200000,200000,10.0
0,0.958328072961,4.14225546797,1.41457214063,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.00445397683966,0.600309769463,0.148592827709,0.600309769463,32,5000.0,10.46111671,1,16.6580663995,1.66580663995,5.5,1.83333333333,5.5,3,10.0251818177,10.0,200000,1,200000,200000,10.0
0,0.987569314123,5.41162118497,2.36641317743,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000547278155443,0.240582684545,0.116449034929,0.240582684545,20,5000.0,10.2014736664,10,41.5657511634,4.15657511634,5.5,0.458333333333,5.5,12,10.0746623518,10.0,200000,1,200000,200000,10.0
0,0.991243654423,5.36479728997,2.3278719113,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.00221284060664,0.248716486692,0.0950581996434,0.248716486692,15,5000.0,9.98204337137,100,40.2064219103,4.02064219103,5.75,0.479166666667,5.75,12,9.89463715005,10.0,200000,1,200000,200000,10.0
0,0.991213940745,7.59927028179,4.34279375586,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.00183316733906,0.05183667344,0.0,0.05183667344,0,5000.0,9.94415026,1000,192.913613787,19.2913613787,8.25,0.6875,8.25,12,9.85678036658,10.0,200000,1,200000,200000,10.0
0,0.996917129131,8.24639109364,4.9665985333,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000927802820901,0.0330385825973,0.0,0.0330385825973,0,5000.0,9.62895088757,1001,302.676422953,30.2676422953,8.25,0.634615384615,8.25,13,9.59926607539,10.0,200000,1,200000,200000,10.0
0,0.996151694363,8.45147709365,5.16617125329,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.00217921741646,0.0286479978317,0.0,0.0286479978317,0,5000.0,10.3957624061,1002,349.06453354,34.906453354,8.25,0.589285714286,8.25,14,10.355756335,10.0,200000,1,200000,200000,10.0
0,0.99795732539,8.64960877529,5.35965518507,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000693664768487,0.0249626721021,0.0,0.0249626721021,0,5000.0,10.3641264375,1003,400.598139457,40.0598139457,8.25,0.55,8.25,15,10.3429558996,10.0,200000,1,200000,200000,10.0
0,0.997114279968,8.82520031368,5.53161833317,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.0025120803218,0.0220957391893,0.0,0.0220957391893,0,5000.0,9.79201677094,1004,452.575943005,45.2575943005,8.25,0.515625,8.25,16,9.76375975199,10.0,200000,1,200000,200000,10.0
0,0.995395640524,8.21076887532,4.9320140461,1.0,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000814284513642,0.0338673046445,0.0,0.0338673046445,0,5000.0,10.0020587069,1005,295.270028275,29.5270028275,8.25,0.485294117647,8.25,17,9.95600563313,10.0,200000,1,200000,200000,10.0
